"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","sona_id","success","question_order","slider_start","practiceTrial","practiceTrialNum","correct","scale","concept"
"1467","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","1470","0.0-0.0","zu76nrl567","0","87841","","","","","","","",""
"1183","","","fullscreen","1","3657","0.0-1.0","zu76nrl567","0","87841","true","","","","","","",""
"8870","","{""Consent"":[""<strong>I consent</strong>""]}","survey-multi-select","2","12530","0.0-2.0","zu76nrl567","0","87841","","[0]","","","","","",""
"1344","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","3","13878","0.0-3.0","zu76nrl567","0","87841","","","","","","","",""
"15375","","{""Age"":""18"",""Gender"":""Male"",""Race/ethnicity"":""Mexican"",""Languages"":""Spanish and English ""}","survey-text","4","29259","0.0-4.0","zu76nrl567","0","87841","","","","","","","",""
"69255","
                        <div style=""height:680px;"">
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                During this experiment you will be presented with a series of concepts, one at a time, from the set below:                             </div>

                           <div style=""text-align: left; width: 1500px;"">
                                <p style=""font-size:20px; line-height:20px;"">bear, bird, lion, frog, fish, airplane, car, boat, truck, train, apple</p>
                                <p style=""font-size:20px; line-height:20px;"">banana, cherry, grape, peach, carrot, celery, corn, eggplant, mushroom, blizzard</p>
                                <p style=""font-size:20px; line-height:20px;"">drought, hurricane, lightning, sandstorm, evil, greed, justice, love, peace, driving</p>
                                <p style=""font-size:20px; line-height:20px;"">eating, sleeping, leisure, working, comfort, efficiency, speed, safety, reliability, undefined</p>
                                <p style=""font-size:22px; line-height:18px;""></p>
                            </div>
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                For each concept, you will be asked to rate where you think it falls on each of the response scales with the following endpoints:
                            </div>
                            <div style=""text-align: center; width: 1400px; "">
                                <p style=""font-size:25px; line-height:18px; "">ugly vs. beautiful</p>
                                <p style=""font-size:25px; line-height:18px; "">yellow vs. blue</p>
                                <p style=""font-size:25px;line-height:18px;"">hard vs. soft</p>
                                <p style=""font-size:25px;line-height:18px; "">dirty vs. clean</p>
                                <p style=""font-size:25px;line-height:18px; "">agitated vs. calm</p>
                                <p style=""font-size:25px;line-height:22px;"">distasteful vs. tasty</p>
                            </div>
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                Each trial will include one concept word and one response scale. You will be asked to make your rating by sliding the cursor along a slider response scale.                                Before beginning, please look at the list of concepts and scales.                                 For each scale, think about the concept you associate most with the left endpoint.                                When you see that concept for that response scale, please click near the left of the scale.                                Now, please think about the concept you associate most with the right endpoint of each scale. 
                                When you see that concept for that response scale, please click near the right of the scale. 
                                Please use the full range of the scale.                                That is, if you believe a concept is somewhat associated with both endpoints, you would click at the midpoint of the scale.                                You will be asked to rate each concept for a given scale before moving on to the next.<br>Press the 'Continue' button for instructions on how to use the slider.

                            </div>
                                <!-- Centered text paragraphs -->
                            
                        </div>
                            ","59","html-slider-response","5","98514","0.0-5.0","zu76nrl567","0","87841","","","0","true","","","",""
"2017","<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each concept for a given scale, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the slider. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","html-button-response","6","100533","0.0-6.0","zu76nrl567","0","87841","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","html-slider-response","7","108085","0.0-7.0-0.0","zu76nrl567","0","87841","","","0","true","0","true","",""
"1027","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","8","109616","0.0-7.0-1.0","zu76nrl567","0","87841","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","html-slider-response","9","112163","0.0-8.0-0.0","zu76nrl567","0","87841","","","0","true","1","true","",""
"747","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","10","113412","0.0-8.0-1.0","zu76nrl567","0","87841","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","100","html-slider-response","11","119542","0.0-9.0-0.0","zu76nrl567","0","87841","","","0","true","2","true","",""
"836","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","12","120881","0.0-9.0-1.0","zu76nrl567","0","87841","","","","","","","",""
